"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",1763,"Bray's Brewing Company",1154995643,3,4,3.5,"American Pale Ale (APA)",3,3,"Old Church Pale Ale",NA,14222
"2",1763,"Bray's Brewing Company",1218382770,3,5,4,"American Porter",3,3,"Viciously Vivacious Vanilla Porter",NA,44244
"3",1763,"Bray's Brewing Company",1218396898,3,4,4.5,"Braggot",3,3.5,"Loading Dock Braggot",NA,44260
"4",1763,"Bray's Brewing Company",1310320865,3.5,3.5,3.5,"American Porter",3.5,3.5,"Burnt Meadow Mountain Porter",NA,68504
"5",1763,"Bray's Brewing Company",1304096138,3.5,3.5,4,"American Porter",3.5,3.5,"Burnt Meadow Mountain Porter",NA,68504
"6",1763,"Bray's Brewing Company",1304095083,3.5,3.5,3.5,"American IPA",3.5,3.5,"Bray's Red IPA",NA,31768
"7",1763,"Bray's Brewing Company",1268669208,4,4.5,4,"American IPA",4,4.5,"Bray's Red IPA",NA,31768
"8",1763,"Bray's Brewing Company",1153223225,4,4,4,"American IPA",3.5,3,"Bray's Red IPA",NA,31768
"9",1763,"Bray's Brewing Company",1304095424,4,3.5,3.5,"American Pale Ale (APA)",4,4.5,"Orien Oatmeal Pale Ale",4,10034
"10",1763,"Bray's Brewing Company",1054035829,4,3.5,3.5,"American Pale Ale (APA)",4,4,"Orien Oatmeal Pale Ale",4,10034
"11",1763,"Bray's Brewing Company",1218381806,4.5,4.5,5,"American IPA",5,5,"Hidden Agenda",7.1,44243
"12",1763,"Bray's Brewing Company",1218391541,2.5,4,4,"Herbed / Spiced Beer",3.5,3,"Stangs Swang Ginger Honey",NA,44258
"13",1763,"Bray's Brewing Company",1218390519,3.5,5,4.5,"American Stout",3.5,4,"Graveyard Shift Coffee Stout",NA,44256
"14",1763,"Bray's Brewing Company",1285548109,4,4,4.5,"Märzen / Oktoberfest",3.5,4,"Oktoberfest",NA,62124
"15",1763,"Bray's Brewing Company",1195679889,4,4,4.5,"American IPA",4,4,"Epicurean IPA",NA,39712
"16",1763,"Bray's Brewing Company",1152065661,4.5,4,3.5,"American Pale Ale (APA)",4.5,4,"Old Church Pale Ale",NA,14222
"17",1763,"Bray's Brewing Company",1218397496,4,4,5,"Scotch Ale / Wee Heavy",4,4,"Songo Loch Scotch Ale (Winter Solstice Special)",9.2,6924
"18",1763,"Bray's Brewing Company",1036321306,2,2,3.5,"Scotch Ale / Wee Heavy",3.5,2,"Songo Loch Scotch Ale (Winter Solstice Special)",9.2,6924
"19",1763,"Bray's Brewing Company",1304095205,3.5,3.5,3.5,"American Brown Ale",3.5,4,"Muddy River Bog Brown Ale",NA,36202
"20",1763,"Bray's Brewing Company",1175550590,4.5,4,4,"American Brown Ale",4,4.5,"Muddy River Bog Brown Ale",NA,36202
"21",1763,"Bray's Brewing Company",1264734681,4,4,4.5,"American IPA",4,4,"Redeye P.A.",NA,55727
"22",1763,"Bray's Brewing Company",1257975679,5,5,3.5,"American IPA",4,5,"Hoppycock",6.5,54045
"23",1763,"Bray's Brewing Company",1200968639,4,4,4,"American Porter",4,4.5,"Pleasant Mountain Porter",NA,14223
"24",1763,"Bray's Brewing Company",1152466068,4.5,4,4.5,"American Porter",4.5,4,"Pleasant Mountain Porter",NA,14223
"25",1763,"Bray's Brewing Company",1304095695,3,3,3.5,"Rye Beer",3,3,"Bald Pate Celebration Rye Ale",NA,68502
"26",1763,"Bray's Brewing Company",1126966491,4,4,4,"Irish Red Ale",4,4,"Irish Red Ale",NA,25887
"27",1763,"Bray's Brewing Company",1320893451,4,4,4,"American Brown Ale",3,3.5,"Sheepscott Double Brown Ale",NA,20506
"28",1763,"Bray's Brewing Company",1098805680,4.5,3.5,3.5,"American Brown Ale",4,4,"Sheepscott Double Brown Ale",NA,20506
"29",1763,"Bray's Brewing Company",1296138337,4,3.5,3,"American Amber / Red Ale",3.5,4,"Ruber's Red Wheat Ale",NA,65667
"30",1763,"Bray's Brewing Company",1296093060,3.5,3.5,4,"American Amber / Red Ale",3,3,"Ruber's Red Wheat Ale",NA,65667
"31",1763,"Bray's Brewing Company",1275323980,3.5,3.5,3.5,"American Brown Ale",4,3.5,"Willie McGill Brown Ale",NA,58778
"32",1763,"Bray's Brewing Company",1160225062,4,4,4.5,"American Porter",4,4.5,"Burnt Meadow Peated Porter",NA,33102
"33",1763,"Bray's Brewing Company",1218387253,5,5,4.5,"American Double / Imperial Stout",5,5,"Bray's Imperial Stout",NA,44254
"34",1763,"Bray's Brewing Company",1154995318,3.5,3.5,3.5,"American IPA",3.5,4,"Mount Olympus Special Ale",NA,6926
"35",1763,"Bray's Brewing Company",1152581001,4,3.5,3,"American IPA",4.5,3.5,"Mount Olympus Special Ale",NA,6926
"36",1763,"Bray's Brewing Company",1126966130,3,2.5,3,"American IPA",3,3.5,"Mount Olympus Special Ale",NA,6926
"37",1763,"Bray's Brewing Company",1036321604,3,3,4,"American IPA",4,3.5,"Mount Olympus Special Ale",NA,6926
"38",1763,"Bray's Brewing Company",1197765591,4.5,4.5,4.5,"Fruit / Vegetable Beer",4.5,4.5,"Yammityville Horror Sweet Potato Ale",NA,25886
"39",1763,"Bray's Brewing Company",1160224570,4,3.5,4,"Fruit / Vegetable Beer",4,3.5,"Yammityville Horror Sweet Potato Ale",NA,25886
"40",1763,"Bray's Brewing Company",1126965850,4,3.5,4,"Fruit / Vegetable Beer",4,4,"Yammityville Horror Sweet Potato Ale",NA,25886
