"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
181,"George Gale & Company Ltd",1163539465,1.5,2,2.5,"Old Ale",2,2.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1325530736,2,2,2.5,"Old Ale",1.5,2,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1060974201,2.5,4,4,"Old Ale",2,2,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1061086221,3.5,3.5,3,"Winter Warmer",3,3,"Gale's Christmas Ale",8.5,2224
181,"George Gale & Company Ltd",1325471504,2,2,3,"Old Ale",2,2,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1131668482,4,4,3.5,"Old Ale",3.5,4,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1131579362,4,3.5,4,"Old Ale",3.5,4,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1060648250,4,3.5,4,"Old Ale",4.5,4.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1325877055,3,3,3.5,"English Bitter",3.5,3,"Seafarers",4.5,24387
181,"George Gale & Company Ltd",1235899580,4,4,3.5,"Old Ale",4,4,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1229642816,3.5,3.5,3.5,"Old Ale",3.5,3,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1250256812,4,4,4,"Old Ale",4,4,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1178853123,3.5,4,3,"Old Ale",3.5,4.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1249615682,2.5,4.5,4,"Old Ale",2.5,2.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1249534957,1.5,2,2.5,"Old Ale",3,2,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1248627297,3,4.5,2.5,"Old Ale",3,4,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1245336696,3.5,4.5,3,"Old Ale",3,4.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1245032394,3.5,3,4,"Old Ale",3.5,3,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1242959688,2.5,3.5,3.5,"Old Ale",2.5,3,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1242870405,3.5,3.5,3.5,"Old Ale",3.5,3.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1242604786,4,3,3.5,"Old Ale",4,3.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1242358600,4,3.5,4,"Old Ale",4.5,4.5,"Gale's Prize Old Ale",9,3732
181,"George Gale & Company Ltd",1241996597,3,4,4.5,"Old Ale",4,4,"Gale's Prize Old Ale",9,3732
