"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1187226552,3,3,3.5,"Euro Pale Lager",3,3,"Piast",5.3,37459
"2",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1194594883,1.5,2.5,3,"Euro Pale Lager",2.5,2,"Piast",5.3,37459
"3",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1168721060,3,3.5,4,"Euro Pale Lager",3.5,3,"Piast (Super Premium Barrel)",5.7,1691
"4",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1167358680,2,3.5,3,"Euro Pale Lager",2.5,3,"Piast (Super Premium Barrel)",5.7,1691
"5",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1165784832,3.5,3,3,"Euro Pale Lager",3.5,3.5,"Piast (Super Premium Barrel)",5.7,1691
"6",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1165114578,4,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Piast (Super Premium Barrel)",5.7,1691
"7",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1161557317,4,2.5,3.5,"Euro Pale Lager",4,3.5,"Piast (Super Premium Barrel)",5.7,1691
"8",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1148825693,3.5,3,3.5,"Euro Pale Lager",3.5,3,"Piast (Super Premium Barrel)",5.7,1691
"9",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1142812602,3,3,3.5,"Euro Pale Lager",3,2.5,"Piast (Super Premium Barrel)",5.7,1691
"10",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1130730748,3,2.5,3,"Euro Pale Lager",3,3,"Piast (Super Premium Barrel)",5.7,1691
"11",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1119848322,4,3.5,3.5,"Euro Pale Lager",4,4,"Piast (Super Premium Barrel)",5.7,1691
"12",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1108514654,3.5,4,3.5,"Euro Pale Lager",4,3.5,"Piast (Super Premium Barrel)",5.7,1691
"13",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1104817297,2.5,2,2.5,"Euro Pale Lager",2,2,"Piast (Super Premium Barrel)",5.7,1691
"14",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1094003170,3.5,3,3,"Euro Pale Lager",3.5,3,"Piast (Super Premium Barrel)",5.7,1691
"15",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1086825334,3.5,3.5,4,"Euro Pale Lager",4,4,"Piast (Super Premium Barrel)",5.7,1691
"16",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1075586294,3,3,4,"Euro Pale Lager",3.5,2.5,"Piast (Super Premium Barrel)",5.7,1691
"17",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1060226965,2.5,2.5,2.5,"Euro Pale Lager",3,2.5,"Piast (Super Premium Barrel)",5.7,1691
"18",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1044303171,4,3,4,"Euro Pale Lager",3.5,3.5,"Piast (Super Premium Barrel)",5.7,1691
"19",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1036576216,2.5,2.5,4,"Euro Pale Lager",3,3.5,"Piast (Super Premium Barrel)",5.7,1691
"20",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1029917397,4,3.5,3.5,"Euro Pale Lager",4,4,"Piast (Super Premium Barrel)",5.7,1691
"21",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1026719151,5,5,4.5,"Euro Pale Lager",5,5,"Piast (Super Premium Barrel)",5.7,1691
"22",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1018172435,4.5,3,4,"Euro Pale Lager",4,4,"Piast (Super Premium Barrel)",5.7,1691
"23",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1011826666,3.5,2.5,3.5,"Euro Pale Lager",3.5,3.5,"Piast (Super Premium Barrel)",5.7,1691
"24",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1002844801,4,3,3.5,"Euro Pale Lager",3.5,3.5,"Piast (Super Premium Barrel)",5.7,1691
"25",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1253208815,3.5,3.5,3,"Euro Pale Lager",3,3,"Piast",5.3,37459
"26",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1242951876,3.5,2.5,2.5,"Euro Pale Lager",3,3,"Piast",5.3,37459
"27",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1242347470,3,2.5,3,"Euro Pale Lager",3,3.5,"Piast",5.3,37459
"28",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1237256514,4,2.5,3,"Euro Pale Lager",3,3,"Piast",5.3,37459
"29",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1237174063,3,3,3,"Euro Pale Lager",3.5,2.5,"Piast",5.3,37459
"30",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1234145941,3.5,2,2.5,"Euro Pale Lager",3,3,"Piast",5.3,37459
"31",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1228780571,3,2.5,3.5,"Euro Pale Lager",2.5,3,"Piast",5.3,37459
"32",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1226627047,3,3.5,3.5,"Euro Pale Lager",3,3,"Piast",5.3,37459
"33",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1225167917,4,3.5,3.5,"Euro Pale Lager",3,2.5,"Piast",5.3,37459
"34",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1207792820,3,1.5,4,"Euro Pale Lager",2.5,2.5,"Piast",5.3,37459
"35",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1206299885,4,3,3,"Euro Pale Lager",4,3.5,"Piast",5.3,37459
"36",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1182819094,3,3,3,"Euro Pale Lager",3,3,"Piast Classic",6.2,7439
"37",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1132293393,3.5,2.5,3,"Euro Pale Lager",3,2.5,"Piast Classic",6.2,7439
"38",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1078602050,3,3,3.5,"Euro Pale Lager",3,3,"Piast Classic",6.2,7439
"39",633,"Browary Dolno&#347;l&#261;skie Piast S.A.",1039165198,3,2.5,3,"Euro Pale Lager",2.5,3,"Piast Classic",6.2,7439
