"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",13918,"Steffans Aldergrove Brewery",1239842677,3,3,3,"Czech Pilsener",3,3.5,"Czecko",4,30734
"2",13918,"Steffans Aldergrove Brewery",1296033317,3.5,3,4.5,"American Double / Imperial Stout",4,3.5,"Empirical Staught",7.5,30787
"3",13918,"Steffans Aldergrove Brewery",1252651186,4,4,4.5,"American Double / Imperial Stout",4.5,4.5,"Empirical Staught",7.5,30787
"4",13918,"Steffans Aldergrove Brewery",1248323225,2,4,4,"American Double / Imperial Stout",2,2,"Empirical Staught",7.5,30787
"5",13918,"Steffans Aldergrove Brewery",1210995596,3,3,4,"American Double / Imperial Stout",4,3.5,"Empirical Staught",7.5,30787
"6",13918,"Steffans Aldergrove Brewery",1206922007,3.5,3.5,4,"American Double / Imperial Stout",4,4.5,"Empirical Staught",7.5,30787
"7",13918,"Steffans Aldergrove Brewery",1203393519,3,3.5,4,"American Double / Imperial Stout",3,3,"Empirical Staught",7.5,30787
"8",13918,"Steffans Aldergrove Brewery",1191644730,4,4,4.5,"American Double / Imperial Stout",4,4,"Empirical Staught",7.5,30787
"9",13918,"Steffans Aldergrove Brewery",1191361658,3.5,4,3,"American Double / Imperial Stout",3.5,3.5,"Empirical Staught",7.5,30787
"10",13918,"Steffans Aldergrove Brewery",1182790703,3.5,3.5,3,"American Double / Imperial Stout",3.5,3,"Empirical Staught",7.5,30787
"11",13918,"Steffans Aldergrove Brewery",1155327878,4.5,4.5,4.5,"American Double / Imperial Stout",5,5,"Empirical Staught",7.5,30787
"12",13918,"Steffans Aldergrove Brewery",1153553109,4,3,3,"American Double / Imperial Stout",2.5,4,"Empirical Staught",7.5,30787
"13",13918,"Steffans Aldergrove Brewery",1149127153,4,4,3.5,"American Double / Imperial Stout",3.5,3.5,"Empirical Staught",7.5,30787
"14",13918,"Steffans Aldergrove Brewery",1239843426,3.5,3.5,3,"English Dark Mild Ale",3,3,"Brown Eyed Girl",3,42094
"15",13918,"Steffans Aldergrove Brewery",1220556329,4.5,4,3.5,"English Dark Mild Ale",3.5,4,"Brown Eyed Girl",3,42094
"16",13918,"Steffans Aldergrove Brewery",1207888822,5,4.5,4,"English Dark Mild Ale",4.5,4.5,"Brown Eyed Girl",3,42094
"17",13918,"Steffans Aldergrove Brewery",1251658135,3,4,4.5,"American Pale Ale (APA)",2.5,3,"American Style Pale Ale",5,30748
"18",13918,"Steffans Aldergrove Brewery",1250047958,3.5,3.5,3,"American Pale Ale (APA)",4,3,"American Style Pale Ale",5,30748
"19",13918,"Steffans Aldergrove Brewery",1149126476,3.5,3.5,3.5,"American Pale Ale (APA)",3.5,3.5,"American Style Pale Ale",5,30748
"20",13918,"Steffans Aldergrove Brewery",1227121501,4,4,4,"American Barleywine",3,4,"Auld Persnickety Barleywine Ale",10.5,40691
"21",13918,"Steffans Aldergrove Brewery",1208654795,4.5,4,5,"Märzen / Oktoberfest",4.5,4,"Maerzen Oktoberfest",6,42242
"22",13918,"Steffans Aldergrove Brewery",1226940016,4.5,4,4,"American Barleywine",4,4.5,"Auld Persnickety Barleywine Ale",10.5,40691
"23",13918,"Steffans Aldergrove Brewery",1217966457,3.5,3.5,4,"American Barleywine",3.5,4,"Auld Persnickety Barleywine Ale",10.5,40691
"24",13918,"Steffans Aldergrove Brewery",1216152468,3.5,4,4,"American Barleywine",3,3.5,"Auld Persnickety Barleywine Ale",10.5,40691
"25",13918,"Steffans Aldergrove Brewery",1203236608,4,3.5,4,"American Barleywine",4,4,"Auld Persnickety Barleywine Ale",10.5,40691
"26",13918,"Steffans Aldergrove Brewery",1201502186,4.5,4.5,3.5,"American Barleywine",3.5,4.5,"Auld Persnickety Barleywine Ale",10.5,40691
"27",13918,"Steffans Aldergrove Brewery",1201134312,4,4,4,"American Barleywine",4,4,"Auld Persnickety Barleywine Ale",10.5,40691
"28",13918,"Steffans Aldergrove Brewery",1260756069,4,4,3,"Märzen / Oktoberfest",4,4,"Maerzen Oktoberfest",6,42242
"29",13918,"Steffans Aldergrove Brewery",1260756699,2,3.5,2,"Czech Pilsener",2,2.5,"Czecko",4,30734
"30",13918,"Steffans Aldergrove Brewery",1150731807,1.5,3,3,"Czech Pilsener",1,3,"Czecko",4,30734
"31",13918,"Steffans Aldergrove Brewery",1149126042,1.5,2,3.5,"Czech Pilsener",2.5,1.5,"Czecko",4,30734
