"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",4552,"McGuire's Irish Pub of Destin",1255062732,4,3.5,2.5,"Irish Dry Stout",4,3.5,"McGuire's Irish Stout",NA,26454
"2",4552,"McGuire's Irish Pub of Destin",1199226108,4,3.5,4,"Irish Dry Stout",3.5,3.5,"McGuire's Irish Stout",NA,26454
"3",4552,"McGuire's Irish Pub of Destin",1226958150,4,3.5,3.5,"American Barleywine",4.5,3.5,"McGuires Barlewine",12,40338
"4",4552,"McGuire's Irish Pub of Destin",1211724364,4.5,4,3.5,"American Barleywine",4,4.5,"McGuires Barlewine",12,40338
"5",4552,"McGuire's Irish Pub of Destin",1199225928,4,4,4,"American Barleywine",4,4.5,"McGuires Barlewine",12,40338
"6",4552,"McGuire's Irish Pub of Destin",1169989719,3.5,4,4,"Belgian Strong Pale Ale",3.5,3.5,"Millenium Ale",8.1,34984
"7",4552,"McGuire's Irish Pub of Destin",1129599759,4,4,4,"Bock",4,4,"McGuire's Moosenator",NA,26458
"8",4552,"McGuire's Irish Pub of Destin",1255062969,3,2.5,2.5,"Fruit / Vegetable Beer",3,2.5,"McGuire's Irish Raspberry Wheat",NA,26456
"9",4552,"McGuire's Irish Pub of Destin",1129599302,3,3,3,"Fruit / Vegetable Beer",3,3,"McGuire's Irish Raspberry Wheat",NA,26456
"10",4552,"McGuire's Irish Pub of Destin",1303051930,4,3,3,"American Blonde Ale",3,3.5,"McGuire's Light Ale",NA,26457
"11",4552,"McGuire's Irish Pub of Destin",1255062359,3.5,2.5,4,"American Blonde Ale",3.5,2.5,"McGuire's Light Ale",NA,26457
"12",4552,"McGuire's Irish Pub of Destin",1129599535,3,3,3,"American Blonde Ale",3,3,"McGuire's Light Ale",NA,26457
"13",4552,"McGuire's Irish Pub of Destin",1309293826,3,3,3.5,"Irish Red Ale",3,2.5,"McGuire's Irish Red Ale",4.5,26453
"14",4552,"McGuire's Irish Pub of Destin",1306790399,2.5,2.5,3,"Irish Red Ale",2.5,3,"McGuire's Irish Red Ale",4.5,26453
"15",4552,"McGuire's Irish Pub of Destin",1303051349,4,3,3,"Irish Red Ale",3,3,"McGuire's Irish Red Ale",4.5,26453
"16",4552,"McGuire's Irish Pub of Destin",1276640240,3,3,3.5,"Irish Red Ale",3,3,"McGuire's Irish Red Ale",4.5,26453
"17",4552,"McGuire's Irish Pub of Destin",1275280088,3.5,3.5,4.5,"Irish Red Ale",3,3,"McGuire's Irish Red Ale",4.5,26453
"18",4552,"McGuire's Irish Pub of Destin",1255062513,3.5,3.5,2.5,"Irish Red Ale",3.5,4,"McGuire's Irish Red Ale",4.5,26453
"19",4552,"McGuire's Irish Pub of Destin",1129598545,3.5,4,4,"Irish Red Ale",3.5,3.5,"McGuire's Irish Red Ale",4.5,26453
"20",4552,"McGuire's Irish Pub of Destin",1169989361,3,2.5,3,"Irish Dry Stout",2,2.5,"McGuire's Irish Stout",NA,26454
"21",4552,"McGuire's Irish Pub of Destin",1129598860,4,4,4,"Irish Dry Stout",4,4,"McGuire's Irish Stout",NA,26454
"22",4552,"McGuire's Irish Pub of Destin",1303053977,4,4,3,"English Porter",4,4.5,"McGuire's Porter",NA,26455
"23",4552,"McGuire's Irish Pub of Destin",1302312372,4,4,3,"English Porter",3,4,"McGuire's Porter",NA,26455
"24",4552,"McGuire's Irish Pub of Destin",1255063167,3.5,3.5,3,"English Porter",3.5,4,"McGuire's Porter",NA,26455
"25",4552,"McGuire's Irish Pub of Destin",1189352284,3.5,3.5,4,"English Porter",4,3.5,"McGuire's Porter",NA,26455
"26",4552,"McGuire's Irish Pub of Destin",1129599101,4,4,4,"English Porter",4,4,"McGuire's Porter",NA,26455
"27",4552,"McGuire's Irish Pub of Destin",1299599029,5,4.5,4.5,"American Double / Imperial Stout",5,4.5,"McGuire's Raspberry Imperial Stout",8.5,66997
"28",4552,"McGuire's Irish Pub of Destin",1281489991,4,3.5,4,"English India Pale Ale (IPA)",4,3.5,"McGuire's India Pale Ale",5.5,59136
