"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
1665,"Old Baldy Brewery",1177563098,4,3.5,4,"English Brown Ale",4,4.5,"Brown",5.5,9151
1665,"Old Baldy Brewery",1053374591,3.5,3.5,4,"English Brown Ale",4,3,"Brown",5.5,9151
1665,"Old Baldy Brewery",1193603970,3,2.5,4,"English Brown Ale",3.5,3,"Brown",5.5,9151
1665,"Old Baldy Brewery",1048664059,4,4.5,5,"English Brown Ale",4,4,"Brown",5.5,9151
1665,"Old Baldy Brewery",1194228756,4,3.5,4,"Schwarzbier",3,3,"Black Lager",NA,39485
1665,"Old Baldy Brewery",1048580928,4.5,4,4,"Vienna Lager",4,4.5,"Lager",4,9125
1665,"Old Baldy Brewery",1053374778,3.5,4,3.5,"American Stout",3.5,3.5,"Stout",6.5,9152
1665,"Old Baldy Brewery",1048664581,3.5,3.5,3.5,"American Stout",4,3.5,"Stout",6.5,9152
1665,"Old Baldy Brewery",1177562798,3.5,4,4,"American Double / Imperial IPA",3.5,3.5,"IPA",8.5,9126
1665,"Old Baldy Brewery",1053374946,4,3,3.5,"American Double / Imperial IPA",4,3.5,"IPA",8.5,9126
1665,"Old Baldy Brewery",1048581584,4,4,4,"American Double / Imperial IPA",4.5,4.5,"IPA",8.5,9126
1665,"Old Baldy Brewery",1116104110,3,2,3,"Kölsch",3.5,1.5,"Blonde",4,9150
1665,"Old Baldy Brewery",1048663610,4,4,3.5,"Kölsch",3.5,4,"Blonde",4,9150
1665,"Old Baldy Brewery",1177565471,3,3,3,"Hefeweizen",4,3,"Hefe",NA,36521
