"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
6984,"St. Austell Brewery",1068060125,3,3,3,"Hefeweizen",3,3,"St. Austell Clouded Yellow",5,13038
6984,"St. Austell Brewery",1064796980,1.5,1.5,2,"Hefeweizen",2,1.5,"St. Austell Clouded Yellow",5,13038
6984,"St. Austell Brewery",1317425177,4,4.5,4,"English Pale Ale",4,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1316404477,4,4,3,"English Pale Ale",4.5,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1314555336,4.5,4,4,"English Pale Ale",4,4.5,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1309867404,4,4,4,"English Pale Ale",4,4.5,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1322687394,4.5,4.5,3.5,"English Bitter",4.5,4,"St. Austell Tribute Premium Cornish Ale",4.2,13037
6984,"St. Austell Brewery",1300487570,4.5,4,4,"English Pale Ale",4.5,5,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1300484396,4.5,3.5,3,"English Pale Ale",3.5,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1288373435,4.5,3.5,4,"English Pale Ale",4.5,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1242329209,4.5,4,4.5,"English Pale Ale",4.5,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1237706788,4.5,4,4,"English Pale Ale",3.5,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1214670772,4,4,4,"English Pale Ale",4,3.5,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1131045145,4.5,4.5,4,"English Pale Ale",4.5,4,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1318939983,4,4.5,4,"English Bitter",4,4,"St. Austell Tribute Premium Cornish Ale",4.2,13037
6984,"St. Austell Brewery",1127688101,4,4,4,"English Pale Ale",4,4.5,"Admiral's Ale",5,26017
6984,"St. Austell Brewery",1324936887,2.5,3,3,"English Bitter",2.5,2.5,"St. Austell Tribute Premium Cornish Ale",4.2,13037
6984,"St. Austell Brewery",1318620227,4,3.5,3,"English Bitter",3.5,3.5,"St. Austell Tribute Premium Cornish Ale",4.2,13037
6984,"St. Austell Brewery",1310232460,4,3.5,5,"English Bitter",4,4,"St. Austell Tribute Premium Cornish Ale",4.2,13037
6984,"St. Austell Brewery",1308101518,3.5,4,4.5,"English Bitter",3.5,3.5,"St. Austell Tribute Premium Cornish Ale",4.2,13037
