"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",2916,"Highwood Brewery Ltd.",1115170818,3.5,3,3,"English Bitter",3.5,4,"Tom Wood's Bomber County",4.8,23514
"2",2916,"Highwood Brewery Ltd.",1041710830,4.5,3.5,4.5,"English Pale Ale",4,4,"Christmas Cheer",4.3,7828
"3",2916,"Highwood Brewery Ltd.",1036389418,3.5,3.5,3.5,"English Pale Ale",3.5,3.5,"Tom Wood Father's Pride",4.3,6951
"4",2916,"Highwood Brewery Ltd.",1137084772,3,3,3.5,"English Bitter",3.5,3,"Tom Wood's Jolly Snowman",3.6,27785
"5",2916,"Highwood Brewery Ltd.",1103860356,4,4,5,"English Strong Ale",4,4,"Tom Woods Christmas Cheers",4.5,21269
"6",2916,"Highwood Brewery Ltd.",1309797184,4.5,4,4,"English Strong Ale",4.5,4.5,"Tom Wood's Lincoln Red",5,51751
"7",2916,"Highwood Brewery Ltd.",1249847241,4.5,4,4,"English Strong Ale",4,4.5,"Tom Wood's Lincoln Red",5,51751
"8",2916,"Highwood Brewery Ltd.",1274042907,3.5,3.5,4,"English Brown Ale",3,3.5,"Jolly Ploughman",5,8310
"9",2916,"Highwood Brewery Ltd.",1155919098,2.5,3.5,3,"English Brown Ale",3,2.5,"Jolly Ploughman",5,8310
"10",2916,"Highwood Brewery Ltd.",1131347321,3.5,3,4,"English Brown Ale",4,3.5,"Jolly Ploughman",5,8310
"11",2916,"Highwood Brewery Ltd.",1130965227,3.5,4,4,"English Brown Ale",3.5,3.5,"Jolly Ploughman",5,8310
"12",2916,"Highwood Brewery Ltd.",1130331113,3.5,3.5,4,"English Brown Ale",3.5,3.5,"Jolly Ploughman",5,8310
"13",2916,"Highwood Brewery Ltd.",1084138808,3,2.5,3,"English Brown Ale",2.5,3,"Jolly Ploughman",5,8310
"14",2916,"Highwood Brewery Ltd.",1078148678,3.5,3,3.5,"English Brown Ale",4,4,"Jolly Ploughman",5,8310
"15",2916,"Highwood Brewery Ltd.",1064543723,2.5,2.5,3,"English Brown Ale",2,2.5,"Jolly Ploughman",5,8310
"16",2916,"Highwood Brewery Ltd.",1126972220,3,3.5,3,"English Bitter",3.5,3.5,"Tom Wood Shepherds Delight",4,12992
"17",2916,"Highwood Brewery Ltd.",1064666032,2.5,2.5,3,"English Bitter",3,2.5,"Tom Wood Shepherds Delight",4,12992
"18",2916,"Highwood Brewery Ltd.",1290011542,4.5,4,4.5,"English Brown Ale",4,4,"Tom Wood's Vanilla Orchid",4.8,63611
"19",2916,"Highwood Brewery Ltd.",1323304116,4,4,3.5,"English Bitter",3.5,4,"Tom Wood's Harvest Bitter",4.3,59184
"20",2916,"Highwood Brewery Ltd.",1276471953,3,3.5,3,"English Bitter",2.5,3,"Tom Wood's Harvest Bitter",4.3,59184
"21",2916,"Highwood Brewery Ltd.",1094114144,4.5,3.5,4,"English Bitter",4,4,"Tom Wood Old Timber",4.5,18382
"22",2916,"Highwood Brewery Ltd.",1088505637,3.5,3.5,4,"English Bitter",3.5,4,"Tom Wood Old Timber",4.5,18382
