"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",11066,"Mack Bryggeri",1322386743,3,3,3.5,"Euro Pale Lager",2.5,2.5,"Haakon",4.5,23783
"2",11066,"Mack Bryggeri",1289143712,4,4,4,"Herbed / Spiced Beer",4,4,"Juleøl",6.5,63248
"3",11066,"Mack Bryggeri",1310238075,2.5,2,2,"Hefeweizen",3,2.5,"Hveteøl",6,70884
"4",11066,"Mack Bryggeri",1299951925,1.5,1,1.5,"Euro Pale Lager",2,2,"Pilsner",4.7,42044
"5",11066,"Mack Bryggeri",1248497178,2,2,3,"Euro Pale Lager",4,2,"Pilsner",4.7,42044
"6",11066,"Mack Bryggeri",1207604722,3,3.5,4,"Euro Pale Lager",2.5,3,"Pilsner",4.7,42044
"7",11066,"Mack Bryggeri",1217181390,1,1,3,"Euro Pale Lager",1.5,1.5,"Arctic Experience",4.7,43994
"8",11066,"Mack Bryggeri",1305473835,3,3,3,"Euro Pale Lager",3,3,"Arctic Beer",4.5,69085
"9",11066,"Mack Bryggeri",1116629275,4.5,4,4,"Euro Pale Lager",4.5,4.5,"Haakon",4.5,23783
"10",11066,"Mack Bryggeri",1314477830,3.5,3,4,"Vienna Lager",3.5,3.5,"Bayer",4.5,69086
"11",11066,"Mack Bryggeri",1305476585,3.5,3,4,"Vienna Lager",3,4,"Bayer",4.5,69086
