"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",14867,"Griesedieck Brothers Brewery Co.",1325893312,4,3.5,4.5,"German Pilsener",4,3.5,"Premium Golden Pilsner",5.2,36828
"2",14867,"Griesedieck Brothers Brewery Co.",1321215719,4,3.5,4,"German Pilsener",3.5,3.5,"Premium Golden Pilsner",5.2,36828
"3",14867,"Griesedieck Brothers Brewery Co.",1318198257,4,2.5,4,"German Pilsener",3.5,4,"Premium Golden Pilsner",5.2,36828
"4",14867,"Griesedieck Brothers Brewery Co.",1311800735,4,4,4.5,"German Pilsener",4,4,"Premium Golden Pilsner",5.2,36828
"5",14867,"Griesedieck Brothers Brewery Co.",1306191279,4.5,4,4,"German Pilsener",4,4,"Premium Golden Pilsner",5.2,36828
"6",14867,"Griesedieck Brothers Brewery Co.",1305071946,4,4,4,"German Pilsener",4.5,4.5,"Premium Golden Pilsner",5.2,36828
"7",14867,"Griesedieck Brothers Brewery Co.",1294016558,3.5,3,4,"German Pilsener",3.5,3.5,"Premium Golden Pilsner",5.2,36828
"8",14867,"Griesedieck Brothers Brewery Co.",1264901216,4,3.5,4,"German Pilsener",4,3.5,"Premium Golden Pilsner",5.2,36828
"9",14867,"Griesedieck Brothers Brewery Co.",1240378542,4.5,4,4,"German Pilsener",4,4,"Premium Golden Pilsner",5.2,36828
"10",14867,"Griesedieck Brothers Brewery Co.",1227290739,3.5,3.5,3.5,"German Pilsener",3,4,"Premium Golden Pilsner",5.2,36828
"11",14867,"Griesedieck Brothers Brewery Co.",1217171022,4,3.5,4,"German Pilsener",3.5,3.5,"Premium Golden Pilsner",5.2,36828
"12",14867,"Griesedieck Brothers Brewery Co.",1211316131,4,4,4,"German Pilsener",4,4,"Premium Golden Pilsner",5.2,36828
"13",14867,"Griesedieck Brothers Brewery Co.",1200534809,4.5,3.5,4,"German Pilsener",4,4.5,"Premium Golden Pilsner",5.2,36828
"14",14867,"Griesedieck Brothers Brewery Co.",1197993366,4,4,4,"German Pilsener",4.5,4.5,"Premium Golden Pilsner",5.2,36828
"15",14867,"Griesedieck Brothers Brewery Co.",1179236761,3.5,3,4,"German Pilsener",3.5,3.5,"Premium Golden Pilsner",5.2,36828
"16",14867,"Griesedieck Brothers Brewery Co.",1313027597,3.5,3.5,3,"Hefeweizen",4,3.5,"Unfiltered Bavarian-Style Wheat",5,40126
"17",14867,"Griesedieck Brothers Brewery Co.",1310149570,4,3.5,3.5,"Hefeweizen",4,3.5,"Unfiltered Bavarian-Style Wheat",5,40126
"18",14867,"Griesedieck Brothers Brewery Co.",1306071274,3,3,2.5,"Hefeweizen",3.5,3,"Unfiltered Bavarian-Style Wheat",5,40126
"19",14867,"Griesedieck Brothers Brewery Co.",1305845308,4,4,4,"Hefeweizen",3.5,3.5,"Unfiltered Bavarian-Style Wheat",5,40126
"20",14867,"Griesedieck Brothers Brewery Co.",1225457635,4,3.5,4,"Hefeweizen",3.5,4,"Unfiltered Bavarian-Style Wheat",5,40126
"21",14867,"Griesedieck Brothers Brewery Co.",1197994021,4,4.5,4.5,"Hefeweizen",4.5,4.5,"Unfiltered Bavarian-Style Wheat",5,40126
