"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
580,"Browar &#321;om&#380;a Sp. z o.o.",1199064159,3.5,3,3.5,"Euro Pale Lager",3.5,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1275397767,3.5,3.5,3,"Euro Pale Lager",2.5,3,"Lomza Wyborowe",6.2,4881
580,"Browar &#321;om&#380;a Sp. z o.o.",1040968411,3.5,3,3,"Dortmunder / Export Lager",3,3,"Lomza Export",5.7,1564
580,"Browar &#321;om&#380;a Sp. z o.o.",1144972360,3.5,3,4.5,"Euro Pale Lager",3,2.5,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1121736169,2.5,3,3,"Euro Pale Lager",3,2.5,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1199935866,4,4.5,4,"Euro Pale Lager",4,4,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1199064275,3,3,3,"Euro Pale Lager",3,3.5,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1172114336,4,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1167362751,3.5,3,3,"Euro Pale Lager",3,3.5,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1117978015,4,3,4,"Euro Pale Lager",3,3.5,"Lomza Zloty Kur",5.5,24098
580,"Browar &#321;om&#380;a Sp. z o.o.",1321501662,2.5,3,3,"Euro Pale Lager",3,2,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1321241453,4,3.5,3.5,"Euro Pale Lager",4,4,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1318804883,3.5,3,3,"Euro Pale Lager",4,4,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1315629953,3.5,3.5,4,"Euro Pale Lager",3.5,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1298613450,4,3,4,"Euro Pale Lager",4,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1290979029,4,3,3,"Euro Pale Lager",3.5,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1288248463,4,3.5,3.5,"Euro Pale Lager",4,4,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1283982223,4,3,3.5,"Euro Pale Lager",3.5,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1040839175,4,4,3.5,"Dortmunder / Export Lager",4,4,"Lomza Export",5.7,1564
580,"Browar &#321;om&#380;a Sp. z o.o.",1277071741,3,3,3,"Euro Pale Lager",3.5,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1275807004,4,3,2.5,"Euro Pale Lager",4,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1248658359,4.5,3,4,"Euro Pale Lager",4,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1248487713,3,2.5,3,"Euro Pale Lager",3.5,3,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1234743089,4,3.5,3,"Euro Pale Lager",3.5,4,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1233878562,3,3,3,"Euro Pale Lager",3,3,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1232933374,3.5,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Lomza Petne ( Premium Beer)",6.2,17334
580,"Browar &#321;om&#380;a Sp. z o.o.",1230485934,2.5,2,2,"Euro Pale Lager",2.5,2.5,"Lomza Petne ( Premium Beer)",6.2,17334
