"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",3061,"Stonefly / Onopa Brewing Company",1166821737,2.5,2.5,2.5,"American Porter",2.5,3,"Pierce Street Porter",5.7,34402
"2",3061,"Stonefly / Onopa Brewing Company",1155478945,2,2,3,"Belgian Pale Ale",2,2,"Fratney Street Flanders Ale",5,32243
"3",3061,"Stonefly / Onopa Brewing Company",1164581950,3.5,3.5,3,"American Pale Ale (APA)",3,3.5,"Mustache Ride Pale Ale",6,33989
"4",3061,"Stonefly / Onopa Brewing Company",1301182085,3.5,4,4,"Russian Imperial Stout",3.5,3,"Imperial Star Destroyer Stout",9,67552
"5",3061,"Stonefly / Onopa Brewing Company",1122093957,4,4.5,3.5,"Extra Special / Strong Bitter (ESB)",3.5,4,"E.S.B.",NA,12619
"6",3061,"Stonefly / Onopa Brewing Company",1292869598,4.5,4.5,4,"English Pale Ale",4,4.5,"Four Wolves English Ale",4.5,64597
"7",3061,"Stonefly / Onopa Brewing Company",1167735331,3.5,4,3.5,"American IPA",3.5,3.5,"Six Finger India Pale Ale",7,34401
"8",3061,"Stonefly / Onopa Brewing Company",1166820413,2.5,3,2.5,"American IPA",2.5,2.5,"Six Finger India Pale Ale",7,34401
"9",3061,"Stonefly / Onopa Brewing Company",1164582054,3.5,3,3,"Hefeweizen",3,3.5,"Wet Willy Wheat",NA,33990
"10",3061,"Stonefly / Onopa Brewing Company",1282403390,4,4,4,"Oatmeal Stout",4,4,"Oatmeal Stout",5.5,12618
"11",3061,"Stonefly / Onopa Brewing Company",1221426059,5,4,3.5,"Oatmeal Stout",3.5,4,"Oatmeal Stout",5.5,12618
"12",3061,"Stonefly / Onopa Brewing Company",1163049037,1,2,2.5,"Oatmeal Stout",1,1,"Oatmeal Stout",5.5,12618
"13",3061,"Stonefly / Onopa Brewing Company",1155479002,3.5,3.5,3,"Oatmeal Stout",3,3.5,"Oatmeal Stout",5.5,12618
"14",3061,"Stonefly / Onopa Brewing Company",1122093683,4,4,4,"Oatmeal Stout",4,4.5,"Oatmeal Stout",5.5,12618
"15",3061,"Stonefly / Onopa Brewing Company",1292867512,3.5,3.5,4,"American Adjunct Lager",4,3.5,"Lager Lager",4.5,64596
