"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
1396,"Snipes Mountain Microbrewery & Restaurant",1112808406,4,4,4,"American Barleywine",4,4,"Roza Barley Wine",NA,3726
1396,"Snipes Mountain Microbrewery & Restaurant",1153526321,4.5,3.5,4,"English Dark Mild Ale",4,4,"Coyote Moon",NA,3723
1396,"Snipes Mountain Microbrewery & Restaurant",1251604069,3.5,3,3,"American IPA",3.5,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1273176108,3,3,3,"American Blonde Ale",3,3,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1235537236,4,4,2.5,"American Blonde Ale",3.5,4,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1203519974,3,2.5,3,"American Blonde Ale",2.5,2.5,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1193360715,3,3,4,"American Blonde Ale",4.5,3,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1153186762,1,2.5,3,"American Blonde Ale",2,1,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1094769795,3,3,3.5,"American Blonde Ale",3,3.5,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1090112965,3,3.5,4.5,"American Blonde Ale",2.5,3.5,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1160778562,3.5,3.5,4,"English Dark Mild Ale",3.5,3,"Coyote Moon",NA,3723
1396,"Snipes Mountain Microbrewery & Restaurant",1060823716,2,3,2,"American Blonde Ale",1.5,2,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1040753240,2,3.5,2.5,"American Blonde Ale",1.5,2,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1021655056,4,2.5,3,"American Blonde Ale",3,3,"Extra Blonde",NA,3720
1396,"Snipes Mountain Microbrewery & Restaurant",1282536691,4.5,4,4,"American IPA",4,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1241362083,4,4,4,"American IPA",3.5,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1239346937,4,3,3,"American IPA",3.5,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1228092763,3.5,4,3.5,"American IPA",3.5,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1207455873,4.5,4,4,"American IPA",4,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1203520215,4,4,3,"American IPA",3.5,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1203459641,4.5,4.5,4,"American IPA",3.5,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1198894924,3.5,4,4.5,"American IPA",3,3,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1193280200,4,4.5,4.5,"American IPA",3.5,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1184484125,3,3.5,3,"American IPA",3,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1183322708,3,4,4,"American IPA",3.5,2.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1137642730,3,2,2.5,"English Dark Mild Ale",3,3,"Coyote Moon",NA,3723
1396,"Snipes Mountain Microbrewery & Restaurant",1174581829,4.5,4,3.5,"American IPA",4,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1153525667,3.5,4,3.5,"American IPA",4.5,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1151542231,3,2.5,3.5,"American IPA",3,3,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1144124475,3,3,3.5,"American IPA",3.5,3,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1120629373,4,4,4.5,"American IPA",4.5,4,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1097774984,4,4,4,"American IPA",4,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1061824836,3.5,4,4.5,"American IPA",3.5,3.5,"Snipes India Pale Ale",5.6,4481
1396,"Snipes Mountain Microbrewery & Restaurant",1203448169,4,3.5,3.5,"Extra Special / Strong Bitter (ESB)",3.5,4,"ESB",NA,3722
1396,"Snipes Mountain Microbrewery & Restaurant",1090552064,3.5,4,4,"Extra Special / Strong Bitter (ESB)",4,4.5,"ESB",NA,3722
1396,"Snipes Mountain Microbrewery & Restaurant",1066015262,3.5,3.5,3,"Extra Special / Strong Bitter (ESB)",4,3.5,"ESB",NA,3722
1396,"Snipes Mountain Microbrewery & Restaurant",1061257894,4,4,4,"Extra Special / Strong Bitter (ESB)",4,4,"ESB",NA,3722
1396,"Snipes Mountain Microbrewery & Restaurant",1021655511,4,4,4,"Extra Special / Strong Bitter (ESB)",4,4,"ESB",NA,3722
1396,"Snipes Mountain Microbrewery & Restaurant",1203520332,4,3.5,4,"American Pale Ale (APA)",3.5,4,"Harvest Ale",5.1,4482
1396,"Snipes Mountain Microbrewery & Restaurant",1193279224,3,2.5,2.5,"American Pale Ale (APA)",3,2.5,"Harvest Ale",5.1,4482
1396,"Snipes Mountain Microbrewery & Restaurant",1273181350,3.5,3,3.5,"American Porter",3,3,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1235103076,4.5,4,4.5,"American Porter",3.5,4,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1203520404,4,4,4,"American Porter",4,3.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1203459018,4,3,4,"American Porter",3.5,4,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1193277977,4,4.5,4,"American Porter",3,4,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1192332304,3.5,4,4,"American Porter",3,3.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1191854659,4,4,4,"American Porter",4,4.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1161036799,3.5,4,4,"American Porter",4,3.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1153526065,4,3.5,4.5,"American Porter",4,4.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1129163618,3.5,4,3,"American Porter",3,3,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1113251008,4,3,3,"American Porter",3.5,4,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1106963918,4,3.5,4,"American Porter",4,4,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1097124295,4,3,4.5,"American Porter",4,4,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1094583413,4,3.5,3,"American Porter",3.5,3.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1082705863,2.5,3.5,4,"American Porter",2.5,3,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1060659109,2.5,3,3.5,"American Porter",3,2.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1034806017,3,3.5,3,"American Porter",2,2.5,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1021708318,3,3,3,"American Porter",4,3,"Porter",NA,3727
1396,"Snipes Mountain Microbrewery & Restaurant",1193288795,4,4.5,3.5,"Witbier",5,4,"Belgian Wit",NA,39308
1396,"Snipes Mountain Microbrewery & Restaurant",1194087339,4,4,4,"German Pilsener",4,4.5,"Pilsner",NA,39305
1396,"Snipes Mountain Microbrewery & Restaurant",1193283068,3,3.5,4,"German Pilsener",3.5,3.5,"Pilsner",NA,39305
1396,"Snipes Mountain Microbrewery & Restaurant",1273179982,4,3.5,3.5,"English Dark Mild Ale",4,4,"Coyote Moon",NA,3723
1396,"Snipes Mountain Microbrewery & Restaurant",1242857348,3.5,3.5,3.5,"English Dark Mild Ale",3,3,"Coyote Moon",NA,3723
