"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1154553638,3,2.5,3,"Euro Pale Lager",2.5,3,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"2",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1013964167,3.5,2.5,3,"Euro Pale Lager",3.5,3.5,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"3",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1322131366,3,3.5,4,"Euro Pale Lager",3,2.5,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"4",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1319906769,2,2.5,2.5,"Euro Pale Lager",3,2,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"5",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1319842056,3,2,3,"Euro Pale Lager",3.5,2.5,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"6",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1318907333,2.5,2.5,3.5,"Euro Pale Lager",3,2.5,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"7",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1314345497,3.5,2.5,4,"Euro Pale Lager",3.5,3.5,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"8",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1307846741,3,3,3.5,"Euro Pale Lager",3,3,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"9",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1307044482,2.5,3,3.5,"Euro Pale Lager",2.5,2.5,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
"10",576,"Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.",1301266131,3.5,3,3.5,"Euro Pale Lager",3.5,3,"Lezajsk 1525 Legendary Premium Lager",5.5,1542
