"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1311028919,4,4,3.5,"Czech Pilsener",4,4,"Purkmistr 12",NA,45211
"2",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1316977823,4,4,4,"Czech Pilsener",4,4,"Purkmistr 12",NA,45211
"3",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1319566026,3.5,4,3.5,"Fruit / Vegetable Beer",3,3.5,"Purkmistr Borůvkovýe (blueberry)",5.5,70709
"4",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1309793034,4,4,4,"Fruit / Vegetable Beer",3,3.5,"Purkmistr Borůvkovýe (blueberry)",5.5,70709
"5",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1318244856,4,4,4.5,"Hefeweizen",4.5,3.5,"Purkmistr Pisar 12 (Wheat Beer)",4.8,73977
"6",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1320573048,4,4,4,"Euro Dark Lager",4,4,"Purkmistr 12° - Semi-Dark Lager (Polotmavy Lezak)",4.8,74949
"7",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1317568824,3.5,3.5,3.5,"Fruit / Vegetable Beer",3,3,"Purkmistr Fikovy Special (Fig)",4.8,73710
"8",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1309788593,4,3.5,4.5,"Vienna Lager",4,4,"Purkmistr 12° - Amber Lager",NA,45213
"9",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1223294965,4.5,4,4.5,"Vienna Lager",4,4.5,"Purkmistr 12° - Amber Lager",NA,45213
"10",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1316979726,4,4,4,"Euro Strong Lager",4,4,"Purkmistr Radni 14",6,70708
"11",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1309791285,4,4,4,"Euro Strong Lager",4,4.5,"Purkmistr Radni 14",6,70708
"12",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1317933290,4,4,4,"Czech Pilsener",4,4.5,"Purkmistr 12",NA,45211
"13",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1223294728,5,4.5,4.5,"Czech Pilsener",4.5,4.5,"Purkmistr 12",NA,45211
"14",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1316978886,4,3.5,4,"Schwarzbier",4,3.5,"Purkmistr 12° - Dark Lager",4.8,45212
"15",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1309792051,4,4,4.5,"Schwarzbier",3.5,4,"Purkmistr 12° - Dark Lager",4.8,45212
"16",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1295776723,4,4,4.5,"Schwarzbier",4,4,"Purkmistr 12° - Dark Lager",4.8,45212
"17",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1256932741,3.5,3.5,4,"Schwarzbier",3.5,4,"Purkmistr 12° - Dark Lager",4.8,45212
"18",18231,"Pivovarský dv&#367;r Plze&#328; / Purkmistr Restaurant",1223294840,4,5,4,"Schwarzbier",4,4.5,"Purkmistr 12° - Dark Lager",4.8,45212
