"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",9798,"Carver Brewing Co.",1318794828,4,4,4.5,"American Amber / Red Ale",4.5,4,"Old Oak Amber Ale",NA,18483
"2",9798,"Carver Brewing Co.",1317069353,4,4,4,"American Amber / Red Ale",4,4,"Old Oak Amber Ale",NA,18483
"3",9798,"Carver Brewing Co.",1285808576,4,3.5,4,"American Amber / Red Ale",4,3.5,"Old Oak Amber Ale",NA,18483
"4",9798,"Carver Brewing Co.",1211667090,3,3.5,4.5,"American Amber / Red Ale",3.5,3.5,"Old Oak Amber Ale",NA,18483
"5",9798,"Carver Brewing Co.",1088904284,4,3.5,4,"American Amber / Red Ale",4,4,"Old Oak Amber Ale",NA,18483
"6",9798,"Carver Brewing Co.",1132172999,4,4,3.5,"Märzen / Oktoberfest",3.5,3.5,"Octoberfest",NA,26957
"7",9798,"Carver Brewing Co.",1318798477,4,3.5,4,"Oatmeal Stout",3.5,4,"Iron Horse Stout",NA,74216
"8",9798,"Carver Brewing Co.",1320718532,3.5,3.5,3.5,"Fruit / Vegetable Beer",3,3.5,"Raspberry Wheat",NA,70604
"9",9798,"Carver Brewing Co.",1318794592,3.5,3,3,"Fruit / Vegetable Beer",3.5,2.5,"Raspberry Wheat",NA,70604
"10",9798,"Carver Brewing Co.",1309548520,3.5,3,3.5,"Fruit / Vegetable Beer",3.5,3.5,"Raspberry Wheat",NA,70604
"11",9798,"Carver Brewing Co.",1318797836,4.5,4,4,"Belgian IPA",4,4,"Belgian IPA",NA,74214
