"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",9774,"Huebert Brewing Company",1144290481,1,2.5,2.5,"American Adjunct Lager",1.5,1.5,"Huebert's Old Tyme Lager",5,18336
"2",9774,"Huebert Brewing Company",1180554258,3.5,3.5,2.5,"American Adjunct Lager",3,3,"Huebert's Old Tyme Lager",5,18336
"3",9774,"Huebert Brewing Company",1272853429,2,2.5,2,"American Adjunct Lager",3,2.5,"Huebert's Old Tyme Lager",5,18336
"4",9774,"Huebert Brewing Company",1244311315,3,2,2,"American Adjunct Lager",2.5,2,"Huebert's Old Tyme Lager",5,18336
"5",9774,"Huebert Brewing Company",1214336382,3,3,4,"American Adjunct Lager",3.5,3.5,"Huebert's Old Tyme Lager",5,18336
"6",9774,"Huebert Brewing Company",1194918872,3.5,3.5,3.5,"American Adjunct Lager",3.5,3.5,"Huebert's Old Tyme Lager",5,18336
"7",9774,"Huebert Brewing Company",1192858302,1,2.5,3,"American Adjunct Lager",1,1,"Huebert's Old Tyme Lager",5,18336
"8",9774,"Huebert Brewing Company",1191370455,3.5,4,3.5,"American Adjunct Lager",3,3,"Huebert's Old Tyme Lager",5,18336
"9",9774,"Huebert Brewing Company",1164393858,3,3.5,3.5,"American Adjunct Lager",3.5,3.5,"Huebert's Old Tyme Lager",5,18336
"10",9774,"Huebert Brewing Company",1113772635,3.5,3,2,"American Adjunct Lager",3.5,4,"Huebert's Old Tyme Lager",5,18336
"11",9774,"Huebert Brewing Company",1104950798,2,2,3,"American Adjunct Lager",2.5,2,"Huebert's Old Tyme Lager",5,18336
"12",9774,"Huebert Brewing Company",1098196198,3,3.5,3.5,"American Adjunct Lager",2.5,3,"Huebert's Old Tyme Lager",5,18336
"13",9774,"Huebert Brewing Company",1316819511,3,2.5,3.5,"American Amber / Red Ale",3,2.5,"Pops Hops Premium Select",4,73385
"14",9774,"Huebert Brewing Company",1251943559,1.5,1,3,"American Pale Lager",2.5,1,"Kudu Premium Lager Beer",NA,43295
"15",9774,"Huebert Brewing Company",1230052711,2.5,3.5,3,"American Pale Lager",2,2.5,"Kudu Premium Lager Beer",NA,43295
"16",9774,"Huebert Brewing Company",1217471092,4,3.5,2.5,"American Pale Lager",3,3.5,"Kudu Premium Lager Beer",NA,43295
"17",9774,"Huebert Brewing Company",1213932333,3,3,3.5,"American Pale Lager",3.5,3.5,"Kudu Premium Lager Beer",NA,43295
"18",9774,"Huebert Brewing Company",1322955663,3.5,4,4,"American Stout",3,2.5,"Chocolate Mint Stout",7.5,75959
"19",9774,"Huebert Brewing Company",1276648695,2,2.5,2,"American Pale Lager",2,2,"Zambezia Premium Lager Beer",NA,43297
"20",9774,"Huebert Brewing Company",1249874506,2,2.5,2.5,"American Pale Lager",2.5,1.5,"Zambezia Premium Lager Beer",NA,43297
"21",9774,"Huebert Brewing Company",1228707545,3,2.5,3,"American Pale Lager",3,3.5,"Zambezia Premium Lager Beer",NA,43297
"22",9774,"Huebert Brewing Company",1223393531,2,2.5,3,"American Pale Lager",2,2.5,"Zambezia Premium Lager Beer",NA,43297
"23",9774,"Huebert Brewing Company",1213934289,2,2.5,2.5,"American Pale Lager",2.5,2.5,"Zambezia Premium Lager Beer",NA,43297
