"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",26528,"Helltown Brewing",1324036738,4,3.5,4,"Belgian Strong Pale Ale",3.5,4,"Helltown Devious Ale",8,74686
"2",26528,"Helltown Brewing",1322396189,4,4,3,"Belgian Strong Pale Ale",3.5,4,"Helltown Devious Ale",8,74686
"3",26528,"Helltown Brewing",1320206638,3.5,3.5,3.5,"Belgian Strong Pale Ale",4,4,"Helltown Devious Ale",8,74686
"4",26528,"Helltown Brewing",1319930833,4.5,4,4,"Belgian Strong Pale Ale",4,4.5,"Helltown Devious Ale",8,74686
"5",26528,"Helltown Brewing",1322791397,4.5,4,3.5,"English Brown Ale",4,4,"Helltown Mischievous Brown Ale",NA,71771
"6",26528,"Helltown Brewing",1319723704,3.5,4,3,"English Brown Ale",4,4,"Helltown Mischievous Brown Ale",NA,71771
"7",26528,"Helltown Brewing",1314650616,4,4.5,4,"English Brown Ale",4,4,"Helltown Mischievous Brown Ale",NA,71771
"8",26528,"Helltown Brewing",1312648050,3.5,3.5,4,"English Brown Ale",3.5,4,"Helltown Mischievous Brown Ale",NA,71771
"9",26528,"Helltown Brewing",1321321393,3.5,3,4,"American IPA",3.5,4,"Helltown The Rapture IPA",NA,75282
"10",26528,"Helltown Brewing",1326168015,3.5,4,3,"American IPA",3,3.5,"Helltown Insidious IPA",6,71770
"11",26528,"Helltown Brewing",1325527780,4,3.5,4,"American IPA",3.5,4.5,"Helltown Insidious IPA",6,71770
"12",26528,"Helltown Brewing",1325131400,4,4,4,"American IPA",3.5,4,"Helltown Insidious IPA",6,71770
"13",26528,"Helltown Brewing",1316950561,4,4,3.5,"American IPA",4,4,"Helltown Insidious IPA",6,71770
"14",26528,"Helltown Brewing",1312647858,4,4,4,"American IPA",4,4,"Helltown Insidious IPA",6,71770
