"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
725,"Brouwerij Haacht NV",1182885758,3.5,4,4,"Belgian Strong Dark Ale",3.5,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1170519159,3,3,3.5,"Belgian Strong Dark Ale",2.5,2.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1175977783,4,4,5,"Belgian Strong Dark Ale",4,4,"Charles Quint Rouge/Keizer Karel Robijn",8.5,33325
725,"Brouwerij Haacht NV",1287874594,3,2.5,4,"Tripel",3,3.5,"Tongerlo Prior Tripel 9",9,55737
725,"Brouwerij Haacht NV",1292937786,3.5,4,3.5,"Belgian Dark Ale",4,4,"Tongerlo 6 Dubbel Bruin",6,9164
725,"Brouwerij Haacht NV",1264792950,4,3,5,"Belgian Dark Ale",3.5,3,"Tongerlo 6 Dubbel Bruin",6,9164
725,"Brouwerij Haacht NV",1136521938,4,3.5,2.5,"Tripel",3,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1104659147,4,4,4,"Tripel",4,4.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1081012392,3.5,4,4,"Tripel",3.5,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1297994325,4,4.5,3,"Belgian Dark Ale",4,4,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1291504238,3.5,3.5,4,"Belgian Dark Ale",3,3.5,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1241812143,3.5,3.5,3.5,"Belgian Dark Ale",3.5,4,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1224375042,4,3.5,4,"Belgian Dark Ale",4,3,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1144284156,3.5,3.5,3.5,"Belgian Dark Ale",3.5,3.5,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1125850106,3,3,3,"Belgian Dark Ale",2.5,2.5,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1119384830,4.5,4.5,4,"Belgian Dark Ale",4.5,5,"Gildenbier",7,24333
725,"Brouwerij Haacht NV",1056545831,1,2,3,"Tripel",1.5,1.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1317327816,3.5,3,4,"Tripel",3.5,3.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1297704181,4,4,3.5,"Tripel",3.5,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1283803824,3.5,3.5,4,"Tripel",3.5,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1262858732,3.5,3.5,3.5,"Tripel",3.5,3.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1262370404,4,3.5,4,"Tripel",3.5,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1224123102,4,4,4,"Tripel",3.5,3.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1193656606,3.5,3.5,4,"Tripel",3.5,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1185918963,4.5,4,5,"Tripel",4,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1182800243,3.5,3.5,3.5,"Tripel",4,3.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1142741602,4,4,4,"Tripel",3.5,3.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1137096650,4,4,4,"Tripel",4,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1136599277,4,3.5,3,"Tripel",3,4,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1048691392,3.5,3.5,3.5,"Tripel",3.5,3.5,"Tongerlo 8 Tripel Blond",8,9163
725,"Brouwerij Haacht NV",1317328140,4,4,4,"Belgian Strong Dark Ale",3.5,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1302291401,4,4.5,3.5,"Belgian Strong Dark Ale",3.5,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1297704607,3.5,3.5,4,"Belgian Strong Dark Ale",3.5,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1297574200,3.5,4,4,"Belgian Strong Dark Ale",4,4.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1284320939,3,3.5,3.5,"Belgian Strong Dark Ale",3.5,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1265342921,4,4.5,3.5,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1207917028,4,4,4.5,"Belgian Strong Dark Ale",4,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1187995247,5,4.5,4.5,"Belgian Strong Dark Ale",4.5,4.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1184935218,4,4,3.5,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1159605020,4,4,3.5,"Belgian Strong Dark Ale",3.5,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1136598249,4,4,3.5,"Belgian Strong Dark Ale",4,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1136532753,3.5,4,3.5,"Belgian Strong Dark Ale",4,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1136519588,4.5,4,3.5,"Belgian Strong Dark Ale",4,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1134234466,3,3.5,4,"Belgian Strong Dark Ale",3,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1131480780,4,3.5,4,"Belgian Strong Dark Ale",4.5,3,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1129914177,3.5,4,4,"Belgian Strong Dark Ale",3.5,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1129437790,3.5,4,3.5,"Belgian Strong Dark Ale",3.5,3.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1120001480,2.5,3.5,4,"Belgian Strong Dark Ale",3,2.5,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1118711723,4.5,4,4,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1111099566,2.5,3,2.5,"Belgian Strong Dark Ale",3,3,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1089814797,3.5,3.5,4,"Belgian Dark Ale",4,3.5,"Tongerlo 6 Dubbel Bruin",6,9164
725,"Brouwerij Haacht NV",1109099450,4.5,2,4,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1097347661,4,4,4.5,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1079361491,4,3.5,4,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
725,"Brouwerij Haacht NV",1062758406,4.5,4,4.5,"Belgian Strong Dark Ale",4,4,"Charles Quint/Keizer Karel",9,12522
