"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",27681,"Ass Kisser Ales",1305950077,4.5,5,4.5,"American Porter",4,4.5,"Ass Kisser Smoked Porter",8.03,67502
"2",27681,"Ass Kisser Ales",1278817564,4,3.5,3,"American Double / Imperial IPA",3.5,3.5,"Ass Kisser Double IPA",9,59622
"3",27681,"Ass Kisser Ales",1322360416,2.5,2.5,2.5,"American Pale Ale (APA)",2.5,2.5,"Ass Kisser Vanilla Pale Ale",5.5,74238
"4",27681,"Ass Kisser Ales",1322038224,2.5,3,3,"American Pale Ale (APA)",2.5,2.5,"Ass Kisser Vanilla Pale Ale",5.5,74238
"5",27681,"Ass Kisser Ales",1320703839,3,2.5,3,"American Pale Ale (APA)",3,2.5,"Ass Kisser Vanilla Pale Ale",5.5,74238
"6",27681,"Ass Kisser Ales",1318816200,2.5,2,2,"American Pale Ale (APA)",3,2,"Ass Kisser Vanilla Pale Ale",5.5,74238
"7",27681,"Ass Kisser Ales",1305431418,4.5,4.5,4.5,"American Porter",4.5,4.5,"Ass Kisser Smoked Porter",8.03,67502
"8",27681,"Ass Kisser Ales",1277694192,4.5,4.5,4.5,"American Double / Imperial IPA",4,4,"Ass Kisser Double IPA",9,59622
"9",27681,"Ass Kisser Ales",1324710399,3,3.5,3.5,"American Double / Imperial IPA",3,3,"Ass Kisser Double IPA",9,59622
"10",27681,"Ass Kisser Ales",1323197324,3.5,3.5,3.5,"American Double / Imperial IPA",3,3,"Ass Kisser Double IPA",9,59622
"11",27681,"Ass Kisser Ales",1321927554,3,3.5,3,"American Double / Imperial IPA",3,3,"Ass Kisser Double IPA",9,59622
"12",27681,"Ass Kisser Ales",1321053143,3.5,3,3.5,"American Double / Imperial IPA",3.5,4,"Ass Kisser Double IPA",9,59622
"13",27681,"Ass Kisser Ales",1320773353,3.5,3.5,4,"American Double / Imperial IPA",4,3.5,"Ass Kisser Double IPA",9,59622
"14",27681,"Ass Kisser Ales",1319679430,3.5,4,3,"American Double / Imperial IPA",4,3.5,"Ass Kisser Double IPA",9,59622
"15",27681,"Ass Kisser Ales",1319333135,3.5,3.5,3.5,"American Double / Imperial IPA",3.5,3.5,"Ass Kisser Double IPA",9,59622
"16",27681,"Ass Kisser Ales",1319143568,3.5,3.5,4,"American Double / Imperial IPA",3.5,4,"Ass Kisser Double IPA",9,59622
"17",27681,"Ass Kisser Ales",1319000067,3,3.5,2,"American Double / Imperial IPA",2.5,4,"Ass Kisser Double IPA",9,59622
"18",27681,"Ass Kisser Ales",1321145569,3,3,3,"American Porter",3,3,"Ass Kisser Smoked Porter",8.03,67502
"19",27681,"Ass Kisser Ales",1318962769,1.5,2.5,4,"American Double / Imperial IPA",2,1.5,"Ass Kisser Double IPA",9,59622
"20",27681,"Ass Kisser Ales",1318722686,3,3.5,3,"American Double / Imperial IPA",3,3,"Ass Kisser Double IPA",9,59622
"21",27681,"Ass Kisser Ales",1318555665,3,3,3,"American Double / Imperial IPA",2.5,2.5,"Ass Kisser Double IPA",9,59622
"22",27681,"Ass Kisser Ales",1318275244,3,2.5,4,"American Double / Imperial IPA",4.5,3,"Ass Kisser Double IPA",9,59622
"23",27681,"Ass Kisser Ales",1316751100,2,2.5,3,"American Double / Imperial IPA",2.5,2.5,"Ass Kisser Double IPA",9,59622
"24",27681,"Ass Kisser Ales",1316396693,3,3,4,"American Double / Imperial IPA",4,2.5,"Ass Kisser Double IPA",9,59622
